Database backup created at: 2025-08-06 23:28:04.650727

Record 0: {'id': 37, 'timestamp': 1723161600, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2371031188512.1963, 'btc_market_cap': 1218342891278.6091, 'eth_market_cap': 322827381254.3183, 'btc_price': 61859.03159904161, 'alt_market_cap': 829860915979.2688, 'alt_strength_ratio': 13415355.761762781, 'btc_dominance': 51.38451561420033, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 1: {'id': 38, 'timestamp': 1723248000, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2324083142360.241, 'btc_market_cap': 1198300504959.2505, 'eth_market_cap': 312353537574.9063, 'btc_price': 60912.588533350805, 'alt_market_cap': 813429099826.0845, 'alt_strength_ratio': 13354039.278444331, 'btc_dominance': 51.56013927033207, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 2: {'id': 39, 'timestamp': 1723334400, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2331563802745.407, 'btc_market_cap': 1201818989571.278, 'eth_market_cap': 313697482213.2365, 'btc_price': 60887.70861641504, 'alt_market_cap': 816047330960.8926, 'alt_strength_ratio': 13402496.98181104, 'btc_dominance': 51.545618788391764, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 3: {'id': 42, 'timestamp': 1723593600, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2339692606284.8037, 'btc_market_cap': 1195798013190.8457, 'eth_market_cap': 325002180894.27686, 'btc_price': 60601.22317789727, 'alt_market_cap': 818892412199.6812, 'alt_strength_ratio': 13512803.360351166, 'btc_dominance': 51.109193146943035, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 4: {'id': 50, 'timestamp': 1724284800, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2343784275765.6465, 'btc_market_cap': 1207099049402.5117, 'eth_market_cap': 316360729845.1586, 'btc_price': 61144.68762866613, 'alt_market_cap': 820324496517.9761, 'alt_strength_ratio': 13416120.489482848, 'btc_dominance': 51.50213959039329, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 5: {'id': 51, 'timestamp': 1724371200, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2319906134835.883, 'btc_market_cap': 1192308382713.8381, 'eth_market_cap': 315630604929.4857, 'btc_price': 60387.54062321362, 'alt_market_cap': 811967147192.559, 'alt_strength_ratio': 13445938.331199897, 'btc_dominance': 51.39468208691925, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 6: {'id': 52, 'timestamp': 1724457600, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2452457839795.788, 'btc_market_cap': 1261916434075.0183, 'eth_market_cap': 332181161792.2442, 'btc_price': 64049.68561555576, 'alt_market_cap': 858360243928.5256, 'alt_strength_ratio': 13401474.740729336, 'btc_dominance': 51.45517340188388, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 7: {'id': 53, 'timestamp': 1724544000, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2458326093892.001, 'btc_market_cap': 1264961887998.9824, 'eth_market_cap': 332950073030.8183, 'btc_price': 64157.1606134782, 'alt_market_cap': 860414132862.2002, 'alt_strength_ratio': 13411038.216698194, 'btc_dominance': 51.45622833121807, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 8: {'id': 54, 'timestamp': 1724630400, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2460959422531.423, 'btc_market_cap': 1269291077270.1143, 'eth_market_cap': 330332547375.3104, 'btc_price': 64265.81631272862, 'alt_market_cap': 861335797885.9982, 'alt_strength_ratio': 13402705.31528906, 'btc_dominance': 51.57708272834829, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 9: {'id': 55, 'timestamp': 1724716800, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2408160721093.6045, 'btc_market_cap': 1242487823611.2612, 'eth_market_cap': 322816645099.5817, 'btc_price': 62922.58634676265, 'alt_market_cap': 842856252382.7615, 'alt_strength_ratio': 13395130.450262018, 'btc_dominance': 51.59488786309151, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 10: {'id': 73, 'timestamp': 1726272000, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2295329361240.549, 'btc_market_cap': 1197832322916.0117, 'eth_market_cap': 294131761890.3451, 'btc_price': 60620.62747295754, 'alt_market_cap': 803365276434.192, 'alt_strength_ratio': 13252341.817025367, 'btc_dominance': 52.18564024592198, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
